dt_s,pos_x,pos_y,pos_z,roll,pitch,yaw,tgt_x,tgt_y,tgt_z,tgt_yaw,err_x_world,err_y_world,err_z,pos_error_3d
0.1,-0.8739,-0.9694,2.6619,0.03515,-0.01554,-2.15905,0.0,0.0,1.0,-3.1,0.8739,0.9694,-1.6619,2.1131
0.076528,-0.8802,-0.9749,2.6365,0.01033,-0.02978,-2.24426,0.0,0.0,1.0,-3.1,0.8802,0.9749,-1.6365,2.0984
0.1,-0.8762,-0.986,2.6029,0.01504,-0.02488,-2.29356,0.0,0.0,1.0,-3.1,0.8762,0.986,-1.6029,2.0759
0.099334,-0.869,-0.9898,2.5674,0.01397,-0.04372,-2.34204,0.0,0.0,1.0,-3.1,0.869,0.9898,-1.5674,2.0473
0.1,-0.8676,-1.0015,2.5413,-0.0161,-0.02659,-2.35458,0.0,0.0,1.0,-3.1,0.8676,1.0015,-1.5413,2.0326
0.1,-0.8685,-1.0077,2.5107,-0.03568,-0.01175,-2.40498,0.0,0.0,1.0,-3.1,0.8685,1.0077,-1.5107,2.013
0.1,-0.8718,-1.0127,2.4799,-0.00391,-0.06187,-2.51927,0.0,0.0,1.0,-3.1,0.8718,1.0127,-1.4799,1.9939
0.097404,-0.8757,-1.017,2.4497,0.00041,-0.03521,-2.55195,0.0,0.0,1.0,-3.1,0.8757,1.017,-1.4497,1.9756
0.1,-0.881,-1.0231,2.4221,0.02039,-0.02384,-2.58455,0.0,0.0,1.0,-3.1,0.881,1.0231,-1.4221,1.961
0.1,-0.8868,-1.0273,2.3926,0.05278,-0.03396,-2.63031,0.0,0.0,1.0,-3.1,0.8868,1.0273,-1.3926,1.9445
0.1,-0.8932,-1.0321,2.3642,0.0387,-0.01836,-2.65647,0.0,0.0,1.0,-3.1,0.8932,1.0321,-1.3642,1.9298
0.1,-0.8995,-1.0363,2.3354,0.02373,-0.02576,-2.67862,0.0,0.0,1.0,-3.1,0.8995,1.0363,-1.3354,1.9147
0.1,-0.9063,-1.0393,2.3055,0.03221,-0.01733,-2.68778,0.0,0.0,1.0,-3.1,0.9063,1.0393,-1.3055,1.8989
0.091431,-0.9129,-1.045,2.2785,0.02494,-0.01379,-2.69597,0.0,0.0,1.0,-3.1,0.9129,1.045,-1.2785,1.8868
0.1,-0.9193,-1.0427,2.2431,0.0365,-0.01302,-2.72483,0.0,0.0,1.0,-3.1,0.9193,1.0427,-1.2431,1.8649
0.098578,-0.9248,-1.0496,2.2177,-0.01023,0.02528,-2.70034,0.0,0.0,1.0,-3.1,0.9248,1.0496,-1.2177,1.8546
0.1,-0.9315,-1.0458,2.1826,0.03633,-0.03271,-2.78951,0.0,0.0,1.0,-3.1,0.9315,1.0458,-1.1826,1.833
0.1,-0.9365,-1.0467,2.1517,0.00808,-0.04168,-2.81544,0.0,0.0,1.0,-3.1,0.9365,1.0467,-1.1517,1.8163
0.09808,-0.9409,-1.0466,2.1209,0.02321,-0.03038,-2.81462,0.0,0.0,1.0,-3.1,0.9409,1.0466,-1.1209,1.7992
0.1,-0.9446,-1.0463,2.0898,0.02187,-0.03089,-2.82452,0.0,0.0,1.0,-3.1,0.9446,1.0463,-1.0898,1.7818
0.099228,-0.9479,-1.0459,2.0594,0.01556,-0.03712,-2.83651,0.0,0.0,1.0,-3.1,0.9479,1.0459,-1.0594,1.7649
0.1,-0.9507,-1.0452,2.0286,0.02284,-0.0332,-2.84494,0.0,0.0,1.0,-3.1,0.9507,1.0452,-1.0286,1.7476
0.098669,-0.9535,-1.0439,1.9973,0.03739,-0.03823,-2.85731,0.0,0.0,1.0,-3.1,0.9535,1.0439,-0.9973,1.7302
0.093364,-0.9559,-1.043,1.9658,0.01758,-0.03483,-2.86514,0.0,0.0,1.0,-3.1,0.9559,1.043,-0.9658,1.713
0.098889,-0.9562,-1.0401,1.9352,-0.02609,-0.00933,-2.88345,0.0,0.0,1.0,-3.1,0.9562,1.0401,-0.9352,1.6943
0.1,-0.9525,-1.0302,1.9028,-0.09282,0.04974,-2.88023,0.0,0.0,1.0,-3.1,0.9525,1.0302,-0.9028,1.6684
0.099582,-0.9439,-1.0127,1.8699,-0.08593,0.04695,-2.89809,0.0,0.0,1.0,-3.1,0.9439,1.0127,-0.8699,1.635
0.1,-0.9258,-0.9813,1.8361,-0.1084,0.05471,-2.90241,0.0,0.0,1.0,-3.1,0.9258,0.9813,-0.8361,1.5872
0.1,-0.9024,-0.9416,1.8049,-0.09954,0.05976,-2.90885,0.0,0.0,1.0,-3.1,0.9024,0.9416,-0.8049,1.5326
0.091737,-0.8757,-0.898,1.777,-0.09354,0.04621,-2.92712,0.0,0.0,1.0,-3.1,0.8757,0.898,-0.777,1.4754
0.1,-0.8401,-0.841,1.7463,-0.10796,0.04931,-2.94132,0.0,0.0,1.0,-3.1,0.8401,0.841,-0.7463,1.4036
0.1,-0.7943,-0.7685,1.7117,-0.09751,0.05252,-2.94735,0.0,0.0,1.0,-3.1,0.7943,0.7685,-0.7117,1.3145
0.098879,-0.7471,-0.6954,1.681,-0.10187,0.04666,-2.96995,0.0,0.0,1.0,-3.1,0.7471,0.6954,-0.681,1.227
0.093669,-0.7002,-0.624,1.6534,-0.10365,0.05434,-2.96183,0.0,0.0,1.0,-3.1,0.7002,0.624,-0.6534,1.143
0.1,-0.6369,-0.5296,1.6187,-0.09041,0.06243,-2.97063,0.0,0.0,1.0,-3.1,0.6369,0.5296,-0.6187,1.0338
0.092506,-0.5784,-0.4502,1.589,-0.00648,0.1023,-2.98786,0.0,0.0,1.0,-3.1,0.5784,0.4502,-0.589,0.9402
0.1,-0.5006,-0.358,1.5522,0.09811,0.09369,-3.00544,0.0,0.0,1.0,-3.1,0.5006,0.358,-0.5522,0.8268
0.094764,-0.4321,-0.2894,1.5237,0.12169,0.03954,-3.01408,0.0,0.0,1.0,-3.1,0.4321,0.2894,-0.5237,0.7381
0.1,-0.3502,-0.2203,1.489,0.124,-0.07518,-3.01451,0.0,0.0,1.0,-3.1,0.3502,0.2203,-0.489,0.6405
0.098865,-0.2943,-0.1801,1.4621,0.11603,-0.09889,-3.01422,0.0,0.0,1.0,-3.1,0.2943,0.1801,-0.4621,0.5767
0.1,-0.222,-0.1345,1.4201,0.09696,-0.09934,-3.02839,0.0,0.0,1.0,-3.1,0.222,0.1345,-0.4201,0.4938
